seqnames,starts,ends,set,gene_name,gene_start,diff_next,diff_prev
chr5,16518754,16715362,train,FAM134B,16617058,319218.0,151266.0
chr19,42642265,42838873,test,PSG3,42740569,25110.0,145514.0
chr9,91325558,91522166,train,NFIL3,91423862,526300.0,61949.0
chr12,120435175,120631783,train,RNF10,120533479,871.0,63630.0
chr2,208091769,208288377,valid,C2orf80,208190073,76001.0,26497.0
chr19,44600873,44797481,test,CEACAM16,44699177,48658.0,32220.0
chr18,714242,910850,train,YES1,812546,95134.0,99870.0
chr1,247939963,248136571,valid,OR2L2,248038267,22414.0,16320.0
chr8,56015678,56212286,train,MOS,56113982,97342.0,39401.0
chr22,48391155,48587763,train,FAM19A5,48489459,1338053.0,1726843.0
chr12,57131022,57327630,train,SHMT2,57229326,11389.0,12532.0
chr3,98424762,98621370,train,CLDND1,98523066,8832.0,25463.0
chr8,96163410,96360018,train,PTDSS1,96261714,231636.0,104.0
chr1,13794487,13991095,train,KAZN,13892791,1259740.0,192594.0
chr16,30664813,30861421,train,RNF40,30763117,24085.0,407.0
chr21,41668802,41865410,train,RIPK4,41767106,112376.0,235990.0
chr2,191579822,191776430,valid,NABP1,191678126,169129.0,432942.0
chr2,107728632,107925240,train,RGPD4,107826936,159586.0,939828.0
chr1,161564842,161761450,train,FCGR2B,161663146,43825.0,31183.0
chr19,49831396,50028004,train,NUP62/ATF5,49929700/49929763,63.0,25379.0
chr6,33648601,33845209,train,IP6K3,33746905,42231.0,35178.0
chr20,24960676,25157284,train,ACSS1,25058980,23385.0,66001.0
chr13,41941731,42138339,train,DGKH,42040035,232117.0,78915.0
chr7,112108107,112304715,train,DOCK4,112206411,176.0,643894.0
chr11,5680363,5876971,train,OR52N5,5778667,10149.0,23975.0
chr3,14304271,14500879,train,SLC6A6,14402575,153500.0,224218.0
chr6,28168705,28365313,train,ZSCAN26,28267009,14562.0,7690.0
chr19,35650056,35846664,test,LIN37,35748360,9719.0,3247.0
chr11,17449068,17645676,train,OTOG,17547372,172195.0,2956.0
chr1,1148418,1345026,train,C1QTNF12,1246722,27163.0,14458.0
chr21,42398050,42594658,train,RSPH1,42496354,157281.0,347.0
chr3,184151345,184347953,test,ECE2,184249649,11814.0,101.0
chr9,32474880,32671488,train,NDUFB6,32573184,62485.0,6058.0
chr2,216597221,216793829,valid,IGFBP5,216695525,164539.0,62698.0
chr4,140329664,140526272,train,CLGN,140427968,70409.0,170683.0
chr2,95304416,95501024,train,FAHD2A,95402720,82011.0,105417.0
chr10,120358649,120555257,train,PLPP4,120456953,394392.0,564243.0
chr1,67133549,67330157,train,C1orf141,67231853,75510.0,92947.0
chr10,45874144,46070752,train,TIMM23,45972448,58266.0,245217.0
chr1,91306565,91503173,train,HFM1,91404869,96023.0,382597.0
chr4,47386983,47583591,train,ATP10D,47485287,352819.0,21568.0
chr3,128394881,128591489,train,GATA2,128493185,187890.0,25937.0
chr1,202987732,203184340,train,MYOG,203086036,4617.0,59539.0
chr10,121830497,122027105,train,ATE1,121928801,46416.0,330343.0
chrX,103675413,103872021,valid,PLP1,103773717,58511.0,45062.0
chr6,83095074,83291682,train,RWDD2A,83193378,558.0,125713.0
chr4,154682908,154879516,train,RBM46,154781212,427416.0,154268.0
chr1,152661256,152857864,train,KPRP,152759560,16811.0,40039.0
chr2,27530691,27727299,train,CCDC121,27628995,34475.0,749.0
chr5,62481179,62677787,train,LRRC70,62579483,1383024.0,175512.0
chr22,36431132,36627740,train,EIF3D,36529436,174122.0,22335.0
chr14,21057759,21254367,test,OR5AU1,21156063,113431.0,51341.0
chr19,54474615,54671223,test,LILRA2,54572919,20662.0,40228.0
chr3,108124266,108320874,train,IFT57,108222570,73919.0,131545.0
chr12,55266806,55463414,train,OR6C75,55365110,35319.0,33410.0
chr20,25525852,25722460,train,NANP,25624156,72685.0,38639.0
chr11,71723244,71919852,train,ZNF705E,71821548,11651.0,34039.0
chr9,34611820,34808428,train,CCL21,34710124,19343.0,18847.0
chr18,31219784,31416392,train,DSG1,31318088,58688.0,155232.0
chr2,95493713,95690321,train,TRIM43,95592017,399814.0,107286.0
chr18,9516936,9713544,train,PPP4R1,9615240,92924.0,140232.0
chr19,47233842,47430450,test,C5AR2,47332146,17134.0,42124.0
chr12,56653856,56850464,train,HSD17B6,56752160,213.0,20565.0
chr7,101120014,101316622,train,PLOD3,101218318,20502.0,645.0
chr10,68802973,68999581,train,DDX50,68901277,54850.0,73737.0
chrX,54990703,55187311,valid,PAGE2,55089007,72303.0,13945.0
chr19,58288095,58484703,train,RPS5,58386399,9690.0,5339.0
chr4,86495827,86692435,train,MAPK10,86594131,183.0,1119018.0
chr5,65828170,66024778,train,ERBIN,65926474,213496.0,203439.0
chr8,23608294,23804902,train,NKX2-6,23706598,148209.0,23671.0
chr12,120204011,120400619,train,SIRT4,120302315,25474.0,36544.0
chr20,1393283,1589891,valid,SIRPB2,1491587,67256.0,23895.0
chr15,24869778,25066386,test,SNURF,24968082,470974.0,144446.0
chr22,50102674,50299282,train,SELENOO,50200978,43993.0,15064.0
chr19,39504196,39700804,test,LGALS13,39602500,53393.0,62167.0
chr9,124763657,124960265,train,RPL35,124861961,168.0,8545.0
chr1,150788831,150985439,train,RP11-235D19.4,150887135,39127.0,10367.0
chr19,597194,793802,train,PRSS57,695498,13440.0,19134.0
chr1,2970863,3167471,train,PRDM16,3069167,385258.0,47685.0
chr7,57041560,57238168,test,ZNF479,57139864,310312.0,1023464.0
chr13,45313634,45510242,train,SLC25A30,45411938,52959.0,70594.0
chr9,69574002,69770610,train,APBA1,69672306,87653.0,347735.0
chr15,76895054,77091662,train,PSTPIP1,76993358,90626.0,61740.0
chr11,72147360,72343968,train,PHOX2A,72245664,189016.0,21964.0
chr7,129090567,129287175,train,SMO,129188871,36151.0,43980.0
chr16,30096002,30292610,train,BOLA2B,30194306,433.0,11480.0
chr2,219499555,219696163,valid,STK11IP,219597859,29467.0,26000.0
chr10,46277322,46473930,train,ANXA8L1,46375626,535769.0,89282.0
chr19,16530758,16727366,train,MED26,16629062,31380.0,56680.0
chr2,85653039,85849647,train,ATOH8,85751343,153856.0,57053.0
chr10,100232182,100428790,train,PKD2L1,100330486,16637.0,43774.0
chr7,52937337,53133945,train,POM121L12,53035641,1506683.0,1718823.0
